set,heap,type
experiment,28868512,before
experiment,27525112,after
experiment,34957712,before
experiment,30175704,after
experiment,36568952,before
experiment,31126360,after
experiment,33268800,before
experiment,33268800,after
experiment,33496280,before
experiment,33496280,after
experiment,33561928,before
experiment,27912672,after
experiment,46665552,before
experiment,33653608,after
experiment,36027648,before
experiment,36027648,after
experiment,4356312,before
experiment,3817520,after
experiment,5020864,before
experiment,4716456,after
experiment,6768528,before
experiment,6351392,after
experiment,10601752,before
experiment,9689784,after
experiment,12244968,before
experiment,11585248,after
experiment,12025488,before
experiment,12025488,after
experiment,12025488,before
experiment,12025488,after
experiment,12025488,before
experiment,12025488,after
experiment,12025488,before
experiment,12025488,after
experiment,14329768,before
experiment,13265672,after
experiment,19117640,before
experiment,19117640,after
experiment,27203832,before
experiment,24256672,after
experiment,28010872,before
experiment,26246480,after
experiment,28851544,before
experiment,27501864,after
experiment,34930928,before
experiment,30152800,after
experiment,36549504,before
experiment,31103728,after
experiment,31472568,before
experiment,31472568,after
experiment,31569968,before
experiment,31569968,after
experiment,31664384,before
experiment,27303112,after
experiment,45970232,before
experiment,32667720,after
experiment,36926144,before
experiment,36926144,after
experiment,4356312,before
experiment,3817520,after
experiment,5020808,before
experiment,4716400,after
experiment,6768424,before
experiment,6351312,after
experiment,10602624,before
experiment,9690672,after
experiment,12245256,before
experiment,11585656,after
experiment,12025896,before
experiment,12025896,after
experiment,12025896,before
experiment,12025896,after
experiment,12025896,before
experiment,12025896,after
experiment,12025896,before
experiment,12025896,after
experiment,14330304,before
experiment,13266064,after
experiment,19143304,before
experiment,19143304,after
experiment,27217768,before
experiment,24261704,after
experiment,28026872,before
experiment,26265016,after
experiment,28858232,before
experiment,27514520,after
experiment,34944720,before
experiment,30165672,after
experiment,36589808,before
experiment,31145744,after
experiment,33245488,before
experiment,33245488,after
experiment,33477944,before
experiment,33477944,after
experiment,33543488,before
experiment,27941888,after
experiment,46744472,before
experiment,33674608,after
experiment,36340288,before
experiment,36340288,after
experiment,4356312,before
experiment,3817520,after
experiment,5020808,before
experiment,4716400,after
experiment,6768424,before
experiment,6351312,after
experiment,10602176,before
experiment,9690232,after
experiment,12245504,before
experiment,11585728,after
experiment,12026064,before
experiment,12026064,after
experiment,12026064,before
experiment,12026064,after
experiment,12026064,before
experiment,12026064,after
experiment,12026064,before
experiment,12026064,after
experiment,14330376,before
experiment,13266392,after
experiment,19142400,before
experiment,19142400,after
experiment,27228176,before
experiment,24281416,after
experiment,28099992,before
experiment,26336792,after
experiment,28941088,before
experiment,27592040,after
experiment,35027344,before
experiment,30248096,after
experiment,36639024,before
experiment,31193608,after
experiment,32052088,before
experiment,32052088,after
experiment,32256040,before
experiment,32256040,after
experiment,32326664,before
experiment,32326664,after
experiment,32432288,before
experiment,27607832,after
experiment,46262976,before
experiment,33074840,after
experiment,36853456,before
experiment,36853456,after
experiment,4356312,before
experiment,3817520,after
experiment,5020808,before
experiment,4716400,after
experiment,6768424,before
experiment,6351312,after
experiment,10602224,before
experiment,9690096,after
experiment,12245488,before
experiment,11585792,after
experiment,12026000,before
experiment,12026000,after
experiment,12026000,before
experiment,12026000,after
experiment,12026000,before
experiment,12026000,after
experiment,12026000,before
experiment,12026000,after
experiment,14330192,before
experiment,13266280,after
experiment,19154208,before
experiment,19154208,after
experiment,27229904,before
experiment,24274960,after
experiment,28103616,before
experiment,26336976,after
experiment,28936312,before
experiment,27589488,after
experiment,35034768,before
experiment,30257640,after
experiment,32325000,before
experiment,32325000,after
experiment,32456096,before
experiment,32456096,after
experiment,32521656,before
experiment,26309504,after
experiment,35639776,before
experiment,28913928,after
experiment,47496680,before
experiment,47496680,after
experiment,47496680,before
